crd_number,platform_name,firm_name
3760,Morgan Stanley,Northwestern Mutual Investment Services LLC
5765,Morgan Stanley,Lincoln Financial Advisors Corp
23795,Morgan Stanley,Royal Alliance Associates Inc
131624,Morgan Stanley,Kestra Advisory Services LLC
146006,Morgan Stanley,Beacon Pointe Advisors LLC
289066,Morgan Stanley,Sequoia Financial Advisors LLC
285533,Morgan Stanley,WealthPoint Advisors LLC
104563,Morgan Stanley,Wealth Enhancement Group LLC
128884,Morgan Stanley,Moneta Group Investment Advisors LLC
107652,Morgan Stanley,Fiducient Advisors LLC
126292,Morgan Stanley,Plante Moran Financial Advisors LLC
137045,Morgan Stanley,Baird Investment Management
175290,Morgan Stanley,CI Private Wealth LLC
246190,Morgan Stanley,Integrated Partners LLC
6649,Oppenheimer,Raymond James Financial Services Inc
6413,Oppenheimer,LPL Financial LLC
40543,Oppenheimer,Commonwealth Financial Network
107312,Oppenheimer,Cambridge Investment Research Inc
282767,Oppenheimer,Captrust Financial Advisors
253801,Oppenheimer,Cerity Partners LLC
244902,Oppenheimer,Homrich Berg LLC
157523,Oppenheimer,Tandem Capital Management LLC
166749,Oppenheimer,Summit Financial LLC
193486,Oppenheimer,Halbert Hargrove Global Advisors LLC
163293,Oppenheimer,Avalon Investment & Advisory LLC
289066,Oppenheimer,Sequoia Financial Advisors LLC
318003,Oppenheimer,Stewardship Advisory Group LLC
261104,Oppenheimer,Pinnacle Financial Partners Inc
148204,Oppenheimer,Highpoint Advisor Group LLC
